,Region,0
0,AUS,20.2853751863424
1,BRA,25.95077878592011
2,CAN,12.571170810663522
3,CHI,19.082035568889324
4,EEU,16.466530280329906
5,GBR,14.391417949354244
6,IND,29.701061104907684
7,JSHK,19.239432819776077
8,MENA,24.74969382430734
9,MEX,21.65697700283592
10,RUS,11.700485836128546
11,SAF,20.962667867708383
12,SAP,29.327337823374574
13,SLA,24.380399901829403
14,SOV,16.793447056228505
15,SSA,27.75407646448626
16,USA,19.166128487398723
17,WEU,16.192151640562603
